created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,class,reason
2026-06-21T01:21:00.253916,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:04.264942,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:04.264942,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:06.271118,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:08.276964,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:10.281995,31.0,57.0,1,0,0,1,0,1,warm
2026-06-21T01:21:12.284796,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:14.292702,31.8,57.0,1,0,0,1,0,1,warm
2026-06-21T01:21:16.297395,31.5,59.0,0,0,0,1,0,1,warm
2026-06-21T01:21:18.305004,31.2,60.0,0,0,0,1,0,1,warm
2026-06-21T01:21:22.314929,31.6,60.0,1,0,0,1,0,1,warm
2026-06-21T01:21:22.317074,31.9,59.0,1,0,0,1,0,1,warm
2026-06-21T01:21:24.320920,31.6,59.0,1,0,0,1,0,1,warm
2026-06-21T01:21:26.327376,31.3,58.0,1,0,0,1,0,1,warm
2026-06-21T01:21:28.333756,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:32.345292,31.5,59.0,0,0,0,1,0,1,warm
2026-06-21T01:21:32.346291,31.6,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:34.352182,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:36.358020,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:38.363609,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:40.369873,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:42.375601,31.5,58.0,1,0,0,1,0,1,warm
2026-06-21T01:21:44.381901,31.0,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:46.386959,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:48.393395,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:21:52.405080,31.7,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:52.406495,31.2,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:54.411930,31.2,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:56.417424,31.2,58.0,0,0,0,1,0,1,warm
2026-06-21T01:21:58.424416,31.6,58.0,0,0,0,1,0,1,warm
2026-06-21T01:22:00.430567,31.7,57.0,0,0,0,1,0,1,warm
